Ticker,Timestamp,ESG Score,Governance Score,Environment Score,Social Score
PPL,1580515200,35.92,7.1,18.72,10.09
PPL,1583020800,35.92,7.1,18.72,10.09
PPL,1585699200,,,,
PPL,1588291200,,,,
PPL,1590969600,,,,
PPL,1593561600,35.15,5.44,18.72,10.99
PPL,1596240000,35.15,5.44,18.72,10.99
PPL,1598918400,,,,
PPL,1601510400,35.17,5.47,18.72,10.99
PPL,1604188800,,,,
PPL,1606780800,,,,
PPL,1609459200,35.17,5.47,18.72,10.99
PPL,1612137600,35.17,5.47,18.72,10.99
PPL,1614556800,35.17,5.47,18.72,10.99
PPL,1617235200,,,,
PPL,1619827200,35.42,5.51,18.93,10.99
PPL,1622505600,,,,
PPL,1625097600,,,,
PPL,1627776000,,,,
PPL,1630454400,33.59,5.51,19.71,8.37
PPL,1633046400,,,,
PPL,1635724800,,,,
PPL,1638316800,,,,
PPL,1640995200,,,,
PPL,1643673600,33.43,5.51,19.71,8.21
PPL,1646092800,,,,
PPL,1648771200,,,,
PPL,1651363200,33.53,5.51,19.71,8.31
PPL,1654041600,,,,
PPL,1656633600,,,,
PPL,1659312000,33.84,5.81,19.71,8.31
PPL,1661990400,,,,
PPL,1664582400,,,,
PPL,1667260800,,,,
PPL,1669852800,,,,
PPL,1672531200,,,,
PPL,1675209600,,,,
PPL,1677628800,,,,
PPL,1680307200,,,,
PPL,1682899200,,,,
PPL,1685577600,,,,
PPL,1688169600,,,,
PPL,1690848000,,,,
PPL,1693526400,31.32,5.33,17.08,8.9
PPL,1696118400,,,,
PPL,1698796800,,,,
PPL,1701388800,,,,
PPL,1704067200,,,,
PPL,1706745600,,,,
PPL,1709251200,,,,
PPL,1711929600,,,,
PPL,1714521600,,,,
PPL,1717200000,,,,
PPL,1719792000,,,,
PPL,1722470400,,,,
PPL,1725148800,,,,
PPL,1727740800,,,,
PPL,1730419200,26.91,4.38,14.89,7.64
PPL,1733011200,26.91,4.38,14.89,7.64
PFG,1409529600,61.0,67.0,48.0,66.0
PFG,1412121600,61.0,67.0,48.0,66.0
PFG,1414800000,61.0,65.0,48.0,69.0
PFG,1417392000,61.0,65.0,48.0,69.0
PFG,1420070400,61.0,65.0,48.0,69.0
PFG,1422748800,61.0,65.0,48.0,69.0
PFG,1425168000,60.0,64.0,49.0,65.0
PFG,1427846400,60.0,64.0,49.0,65.0
PFG,1430438400,60.0,64.0,49.0,65.0
PFG,1433116800,60.0,64.0,49.0,65.0
PFG,1435708800,60.0,64.0,49.0,65.0
PFG,1438387200,60.0,64.0,49.0,65.0
PFG,1441065600,60.0,64.0,49.0,65.0
PFG,1443657600,60.0,64.0,49.0,65.0
PFG,1446336000,60.0,64.0,49.0,65.0
PFG,1448928000,63.0,68.0,58.0,63.0
PFG,1451606400,63.1,67.89,58.33,62.39
PFG,1454284800,63.1,67.89,58.33,62.39
PFG,1456790400,63.1,67.89,58.33,62.39
PFG,1459468800,62.06,68.96,58.33,57.35
PFG,1462060800,62.06,68.96,58.33,57.35
PFG,1464739200,62.06,68.96,58.33,57.35
PFG,1467331200,61.68,68.96,57.08,57.35
PFG,1470009600,61.68,68.96,57.08,57.35
PFG,1472688000,61.68,68.96,57.08,57.35
PFG,1475280000,61.68,68.96,57.08,57.35
PFG,1477958400,61.68,68.96,57.08,57.35
PFG,1480550400,61.68,68.96,57.08,57.35
PFG,1483228800,61.68,68.96,57.08,57.35
PFG,1485907200,61.68,68.96,57.08,57.35
PFG,1488326400,61.99,67.8,54.67,61.95
PFG,1491004800,61.99,67.8,54.67,61.95
PFG,1493596800,62.49,67.8,56.33,61.95
PFG,1496275200,62.45,67.69,56.33,61.95
PFG,1498867200,62.49,67.8,56.33,61.95
PFG,1501545600,62.9,68.21,55.33,63.7
PFG,1504224000,62.9,68.21,55.33,63.7
PFG,1506816000,61.8,64.71,56.08,63.7
PFG,1509494400,61.8,64.71,56.08,63.7
