year,Company_Symbol,Total-Score,E-Score,S-Score,G-Score
2027,AMP,15.018893562954108,1.867445870617062,2.604910801094353,6.8001031985756075
2028,AMP,12.288871228013587,1.1389570279057484,3.288832939303706,4.610109322173887
2029,AMP,11.014128134833118,1.2122961019285992,1.4499306504736884,3.7708311199779594
2020,AMT,18.08833333333333,5.81,6.68,5.598333333333334
2021,AMT,12.42,3.73,3.78,4.9
2022,AMT,10.893333333333333,2.4066666666666667,3.48,5.006666666666667
2023,AMT,10.9,2.9,2.85,5.16
2024,AMT,12.62,4.22,3.93,4.47
2025,AMT,10.100590079058762,3.1664339209583066,2.698133535942292,4.2026783060255095
2026,AMT,7.792399987611915,2.161194861153935,1.5197283986821946,4.081872355121772
2027,AMT,5.6964972289207925,1.2022000718122197,0.3951846221609068,4.110571261440641
2028,AMT,8.596498177098203,3.1917430554294794,1.8674076958397068,3.524747229682883
2029,AMT,6.077600479502858,2.1411722771389488,0.6359440600192463,3.254284243076695
2020,AMZN,30.005,5.738333333333333,13.463333333333331,10.805
2021,AMZN,28.094,5.444,12.932,9.726
2022,AMZN,30.180000000000003,5.71,14.616666666666667,9.856666666666667
2023,AMZN,30.61,6.0,15.39,9.22
2024,AMZN,29.01,6.32,14.83,7.86
2025,AMZN,28.867637995942165,6.532651372214134,15.309015007440271,7.288374950961224
2026,AMZN,29.25866994353646,6.783475171314386,16.054281730341827,6.826427766561764
2027,AMZN,30.18263783163693,7.073473187989512,17.060701143600216,6.473753587016759
2028,AMZN,28.61860961856215,7.3934791729558285,16.53628176090174,5.06970553960971
2029,AMZN,28.475980400893338,7.606125492730554,17.019951633698064,4.49814442000202
2020,ANET,18.85833333333333,0.7400000000000001,9.446666666666667,8.666666666666666
2021,ANET,17.674,0.4,9.06,8.214
2022,ANET,16.986666666666668,0.4000000000000001,8.94,7.640000000000001
2023,ANET,16.535,0.4,8.88,7.25
2024,ANET,13.71,0.58,8.02,5.1
2025,ANET,13.408745393540338,0.4731665685728239,7.8280526557916525,4.731138276729043
2026,ANET,13.033742128469806,0.3713504880213446,7.702143016879728,4.350849844625887
